[9.95681,2.89822,0.92,0.025,0.015,0.005,0.01,0.005,0.0075,0.0125,0.3125,0.09375,0.53125,0.0625],[0.178031,-10,0,0.255796,-93,23,25,28,0.466868,83,61,26,20,0.486174,0.09934,3]
[9.9885,6.19257,0.755,0.07,0.08,0.06,0.0175,0.005,0.0025,0.01,0.897959,0.102041,0,0],[0.09934,3,70,0.347573,34,7,35,23,0.571246,76,74,15,27,0.359555,0.307854,11]
[9.74497,5.13898,0.8675,0.05,0.04,0.02,0.0125,0.0025,0.005,0.0025,0.377358,0.339623,0.245283,0.0377358],[0.307854,11,83,0.0839029,60,52,35,35,0.465798,-88,37,27,45,0.459558,0.0936015,21]
[9.73409,10.7868,0.65,0.1675,0.1375,0.0275,0.01,0.005,0.0025,0,0.55,0.371429,0.0785714,0],[0.0936015,21,36,0.282311,50,44,20,43,0.69607,54,24,30,26,0.513872,0.183246,-23]
[9.17248,6.45497,0.8375,0.0875,0.0575,0.0075,0.01,0,0,0,0.230769,0.0615385,0.461538,0.246154],[0.183246,-23,63,0.0192457,99,13,21,44,0.44367,-72,23,24,27,0.4699,0.216879,-17]
[9.95681,3.10379,0.8725,0.0375,0.0225,0.0325,0.01,0.005,0.0025,0.0175,0.294118,0.0196078,0.196078,0.431373],[0.216879,-17,5,0.179347,-103,34,39,63,0.448663,-62,4,18,49,0.343884,0.367268,7]
[9.99869,6.25514,0.87,0.0475,0.045,0.0125,0.015,0.005,0.0025,0.0025,0.5,0.192308,0.211538,0.0961538],[0.367268,7,17,0.232251,61,88,36,69,0.515761,-25,54,24,29,0.42152,0.0588869,6]
[10,5.24444,0.865,0.0525,0.04,0.0325,0.005,0.005,0,0,0.555556,0.37037,0.0740741,0],[0.0588869,6,8,0.375745,39,61,28,38,0.370647,-19,30,37,35,0.325315,0.142178,-22]
[9.78132,3.39858,0.9,0.0375,0.0425,0.01,0.005,0.005,0,0,0.375,0.1,0.25,0.175],[0.142178,-22,28,0.00148078,-100,62,16,51,0.386296,-1,48,25,41,0.475946,0.168499,-13]
[9.95681,6.19817,0.7375,0.08,0.0725,0.0225,0.035,0.025,0.0125,0.015,0.333333,0.190476,0.257143,0.142857],[0.168499,-13,3,0.116335,-107,95,37,66,0.617019,-11,13,21,24,0.594401,0.089293,-28]
[9.59046,10.0661,0.6275,0.1625,0.1575,0.03,0.01,0.01,0.0025,0,0.0872483,0.825503,0.0872483,0],[0.089293,-28,62,0.101674,68,0,36,47,0.600386,65,80,37,10,0.30615,0.224371,13]
[9.94448,4.26949,0.8725,0.045,0.0375,0.0225,0.01,0.0075,0.005,0,0.294118,0.627451,0.0784314,0],[0.224371,13,92,0.376967,-54,24,37,60,0.416299,-1,94,15,41,0.543061,0.467985,0]
[9.88229,5.46517,0.885,0.0525,0.0525,0.005,0,0.005,0,0,0.869565,0.130435,0,0],[0.467985,0,44,0.414507,28,49,16,47,0.644507,52,99,26,34,0.582253,0.374385,-14]
[9.71168,3.42558,0.91,0.05,0.03,0.005,0.0025,0.0025,0,0,0.611111,0.194444,0.138889,0.0277778],[0.374385,-14,70,0.409202,-66,71,14,53,0.492124,80,28,23,23,0.51423,0.277208,-7]
[9.9786,4.26994,0.88,0.05,0.0475,0.0175,0.0025,0.0025,0,0,0.333333,0.0416667,0.416667,0.208333],[0.277208,-7,48,0.0283964,-94,35,22,64,0.46847,-19,34,31,49,0.547314,0.23926,-16]
[9.85096,9.04667,0.8125,0.1125,0.065,0.0025,0.005,0.0025,0,0,0.56,0.293333,0.12,0.0266667],[0.23926,-16,50,0.32234,59,88,10,60,0.663804,65,83,14,44,0.681094,0.160614,8]
[9.9173,4.45953,0.925,0.0375,0.0325,0.0025,0.0025,0,0,0,0.6,0.0333333,0.0333333,0.333333],[0.160614,8,80,0.446129,88,3,15,31,0.317137,-38,45,23,37,0.48243,0.330979,-4]
[9.50998,2.7254,0.9225,0.0275,0.0125,0.005,0.005,0.01,0.0075,0.01,0.354839,0.516129,0.129032,0],[0.330979,-4,79,0.37162,-51,82,18,24,0.596653,-56,56,37,27,0.659528,0.268002,29]
[9.9246,4.3822,0.8725,0.025,0.02,0.0075,0.0225,0.02,0.0075,0.025,0.176471,0.235294,0.392157,0.196078],[0.268002,29,90,0.435249,-97,62,39,45,0.617657,103,33,37,48,0.583293,0.434051,23]
[9.99115,1.8702,0.9475,0.0325,0.02,0,0,0,0,0,1,0,0,0],[0.434051,23,64,0.0364429,-2,56,28,31,0.314094,-17,20,26,35,0.517696,0.101961,17]
[9.97341,2.07531,0.925,0.0275,0.0275,0.005,0.005,0.005,0.005,0,0.5,0.0666667,0.233333,0.0666667],[0.101961,17,20,0.191998,-99,65,26,43,0.32027,87,91,25,25,0.307625,0.287656,-26]
[9.56474,3.40328,0.9475,0.0375,0.015,0,0,0,0,0,1,0,0,0],[0.287656,-26,25,0.0116204,-23,93,18,31,0.337603,82,46,25,12,0.52564,0.276865,-26]
[9.69141,4.50895,0.82,0.045,0.0525,0.0425,0.0175,0.0175,0.0025,0.0025,0.166667,0.486111,0.319444,0.0277778],[0.276865,-26,29,0.427935,-74,27,33,61,0.595912,-45,80,27,18,0.511908,0.278384,8]
[9.86785,4.54439,0.9075,0.035,0.02,0.0175,0.0075,0.0125,0,0,0.891892,0.108108,0,0],[0.278384,8,65,0.407784,22,32,38,45,0.38982,-100,28,24,34,0.353409,0.0409167,26]
